VRF name,Prefix,RT values
maxis_MC_ACP,10.31.19.169/32,"65104:63722, 65535:60900, 65535:60902, 65535:60904, 65535:66361"
maxis_MC_ACP,10.31.19.170/32,"65104:63722, 65535:60900, 65535:60902, 65535:60904, 65535:66361"
maxis_MC_ACP,10.31.19.177/32,"65123:63722, 65123:65882, 65133:63722, 65133:65882, 65535:60900, 65535:60902, 65535:60904, 65535:66361"
maxis_MC_ACP,10.31.19.178/32,"65123:63722, 65123:65882, 65133:63722, 65133:65882, 65535:60900, 65535:60902, 65535:60904, 65535:66361"
maxis_MC_ACP,10.31.19.185/32,"65535:11250, 65535:60900, 65535:60902, 65535:60904, 65535:66361"
maxis_MC_ACP,10.31.19.186/32,"65535:11250, 65535:60900, 65535:60902, 65535:60904, 65535:66361"
maxis_MC_ACP,10.33.10.104/29,"65535:11250, 65535:60900, 65535:60902, 65535:60904, 65535:60946, 65535:65881"
maxis_MC_ACP,10.33.10.132/31,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.33.10.172/31,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.0/30,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.4/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.5/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.6/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.7/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.8/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.9/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.10/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.11/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.12/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.13/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.14/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.15/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.16/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.17/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.18/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.19/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.20/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.21/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.22/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.23/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.24/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.25/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.26/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.27/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.32/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.33/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.34/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.35/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.36/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.37/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.38/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.41/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
