VRF name,Prefix,RT values
maxis_MC_AUP,10.31.19.171/32,"65104:63302, 65535:60920, 65535:60922, 65535:66381"
maxis_MC_AUP,10.31.19.179/32,"65123:63302, 65123:65862, 65133:63302, 65133:65862, 65535:60920, 65535:60922, 65535:66381"
maxis_MC_AUP,10.31.19.187/32,"65535:11250, 65535:60920, 65535:60922, 65535:66381"
maxis_MC_AUP,10.33.20.16/29,"65535:11250, 65535:60920, 65535:60922"
maxis_MC_AUP,10.33.20.136/29,"65535:11250, 65535:60920, 65535:60922"
maxis_MC_AUP,10.57.3.43/32,"65104:63302, 65535:60920, 65535:60922"
maxis_MC_AUP,10.57.3.51/32,"65535:60920, 65535:60922"
maxis_MC_AUP,10.57.3.59/32,"65535:11250, 65535:60920, 65535:60922"
maxis_MC_AUP,10.100.54.64/30,"65535:11250, 65535:60920, 65535:60922"
maxis_MC_AUP,10.100.54.72/29,"65535:11250, 65535:60920, 65535:60922"
maxis_MC_AUP,10.151.72.0/30,"65535:65860, 65535:65861"
maxis_MC_AUP,10.151.72.4/30,"65535:65860, 65535:65861"
maxis_MC_AUP,10.151.72.8/30,"65535:65860, 65535:65861"
maxis_MC_AUP,10.151.72.12/30,"65535:65860, 65535:65861"
maxis_MC_AUP,10.151.72.24/30,"65535:65860, 65535:65861"
maxis_MC_AUP,10.151.72.28/30,"65535:65860, 65535:65861"
maxis_MC_AUP,10.151.72.32/30,"65535:65860, 65535:65861"
maxis_MC_AUP,10.151.72.36/30,"65535:65860, 65535:65861"
maxis_MC_AUP,10.151.72.40/30,"65535:65860, 65535:65861"
maxis_MC_AUP,10.151.72.44/30,"65535:65860, 65535:65861"
maxis_MC_AUP,10.151.72.48/30,"65535:65860, 65535:65861"
maxis_MC_AUP,10.151.72.52/30,"65535:65860, 65535:65861"
maxis_MC_AUP,10.151.72.56/30,"65535:65860, 65535:65861"
maxis_MC_AUP,10.151.72.60/30,"65535:65860, 65535:65861"
maxis_MC_AUP,10.151.72.64/30,"65535:65860, 65535:65861"
maxis_MC_AUP,10.151.72.68/30,"65535:65860, 65535:65861"
maxis_MC_AUP,10.151.81.228/30,
maxis_MC_AUP,10.151.81.232/30,"65535:60921, 65535:60963, 65535:65860, 65535:65861"
maxis_MC_AUP,10.152.3.165/32,"65104:63302, 65535:11250, 65535:60920, 65535:60922, 65535:66002, 65535:66381"
maxis_MC_AUP,10.152.3.176/29,"65104:63302, 65535:11250, 65535:60920, 65535:60922"
maxis_MC_AUP,10.152.6.5/32,"65104:63302, 65535:11250, 65535:60920, 65535:60922, 65535:66381"
maxis_MC_AUP,10.152.6.6/32,"65104:63302, 65535:11250, 65535:60920, 65535:60922, 65535:66381"
maxis_MC_AUP,10.152.6.32/30,"65104:63302, 65535:11250, 65535:60920, 65535:60922"
maxis_MC_AUP,10.152.6.40/30,"65104:63302, 65535:11250, 65535:60920, 65535:60922"
maxis_MC_AUP,10.152.6.133/32,"65104:63302, 65535:60920, 65535:60922, 65535:66381"
maxis_MC_AUP,10.152.6.134/32,"65104:63302, 65535:60920, 65535:60922, 65535:66381"
maxis_MC_AUP,10.152.6.160/30,"65104:63302, 65535:60920, 65535:60922"
maxis_MC_AUP,10.152.6.168/30,"65104:63302, 65535:60920, 65535:60922"
maxis_MC_AUP,10.152.7.32/30,"65535:11250, 65535:60920, 65535:60922"
maxis_MC_AUP,10.152.7.40/30,"65535:11250, 65535:60920, 65535:60922"
maxis_MC_AUP,10.152.7.133/32,"65123:63302, 65123:65862, 65133:63302, 65133:65862, 65535:60920, 65535:60922, 65535:66381"
maxis_MC_AUP,10.152.7.134/32,"65123:63302, 65123:65862, 65133:63302, 65133:65862, 65535:60920, 65535:60922, 65535:66381"
maxis_MC_AUP,10.152.7.160/30,"65535:60920, 65535:60922"
maxis_MC_AUP,10.152.7.168/30,"65535:60920, 65535:60922"
maxis_MC_AUP,10.152.8.5/32,"65535:60920, 65535:60922"
maxis_MC_AUP,10.152.8.6/32,"65535:60920, 65535:60922"
maxis_MC_AUP,10.152.8.32/30,"65535:60920, 65535:60922"
maxis_MC_AUP,10.152.8.40/30,"65535:60920, 65535:60922"
maxis_MC_AUP,10.152.8.133/32,"65535:60920, 65535:60922"
maxis_MC_AUP,10.152.8.134/32,"65535:60920, 65535:60922"
maxis_MC_AUP,10.152.8.160/30,"65535:60920, 65535:60922"
maxis_MC_AUP,10.152.8.168/30,"65535:60920, 65535:60922"
maxis_MC_AUP,10.152.131.165/32,"65535:60920, 65535:60922"
maxis_MC_AUP,10.152.131.176/29,"65535:60920, 65535:60922"
maxis_MC_AUP,10.152.132.165/32,"65104:63302, 65535:60920, 65535:60922"
maxis_MC_AUP,10.152.132.176/29,"65104:63302, 65535:60920, 65535:60922"
