VRF name,Prefix,RT values
maxis_IuCS,10.151.81.212/30,
maxis_IuCS,10.151.81.216/30,"65535:63360, 65535:63361"
maxis_IuCS,10.156.137.10/32,"65535:11050, 65535:60081, 65535:63360, 65535:63361"
maxis_IuCS,10.221.33.160/28,"65535:11050, 65535:11054, 65535:26302, 65535:60021, 65535:60041, 65535:60081, 65535:60083, 65535:60085, 65535:60201, 65535:60382, 65535:60384, 65535:60601, 65535:60881, 65535:60921, 65535:60961, 65535:60963, 65535:60965, 65535:61072, 65535:61074, 65535:61481, 65535:61521, 65535:61522, 65535:61582, 65535:61722, 65535:62522, 65535:62981, 65535:63302, 65535:63362, 65535:64663, 65535:64861, 65535:65521, 65535:66382, 65535:66501"
maxis_IuCS,10.221.34.0/24,"65535:11050, 65535:11054, 65535:26302, 65535:60021, 65535:60041, 65535:60081, 65535:60083, 65535:60085, 65535:60201, 65535:60382, 65535:60384, 65535:60601, 65535:60881, 65535:60921, 65535:60961, 65535:60963, 65535:60965, 65535:61072, 65535:61074, 65535:61481, 65535:61521, 65535:61522, 65535:61582, 65535:61722, 65535:62522, 65535:62981, 65535:63302, 65535:63362, 65535:64663, 65535:64861, 65535:65521, 65535:66382, 65535:66501"
maxis_IuCS,10.222.130.0/24,"65535:11050, 65535:26302, 65535:60021, 65535:60041, 65535:60081, 65535:60083, 65535:60201, 65535:60382, 65535:60384, 65535:60601, 65535:60881, 65535:60921, 65535:60961, 65535:60963, 65535:60965, 65535:61072, 65535:61074, 65535:61481, 65535:61722, 65535:62522, 65535:62981, 65535:63302, 65535:63362, 65535:64663, 65535:64861, 65535:65521, 65535:65862, 65535:66382, 65535:66501"
maxis_IuCS,10.225.18.0/24,"65535:11050, 65535:26302, 65535:60021, 65535:60041, 65535:60081, 65535:60085, 65535:60201, 65535:60382, 65535:60601, 65535:60921, 65535:60965, 65535:62522, 65535:63302, 65535:63362, 65535:64663, 65535:64861, 65535:65521, 65535:65862, 65535:66382, 65535:66501"
maxis_IuCS,10.225.64.64/26,"65535:11050, 65535:26302, 65535:60021, 65535:60041, 65535:60081, 65535:60085, 65535:60201, 65535:60382, 65535:60601, 65535:60921, 65535:60965, 65535:62522, 65535:63302, 65535:63362, 65535:64663, 65535:64861, 65535:65521, 65535:65862, 65535:66382, 65535:66501"
maxis_IuCS,10.230.18.0/24,"65535:11050, 65535:26302, 65535:60021, 65535:60041, 65535:60081, 65535:60085, 65535:60201, 65535:60382, 65535:60601, 65535:60921, 65535:60965, 65535:62522, 65535:63302, 65535:63362, 65535:64663, 65535:64861, 65535:65521, 65535:65862, 65535:66382, 65535:66501"
maxis_IuCS,10.230.129.64/26,"65535:11050, 65535:26302, 65535:60021, 65535:60041, 65535:60081, 65535:60085, 65535:60201, 65535:60382, 65535:60601, 65535:60921, 65535:60965, 65535:62522, 65535:63302, 65535:63362, 65535:64663, 65535:64861, 65535:65521, 65535:65862, 65535:66382, 65535:66501"
maxis_IuCS,19.0.1.4/30,"65535:11050, 65535:60081, 65535:63360, 65535:63361"
maxis_IuCS,172.20.45.32/27,"65535:11050, 65535:60081, 65535:63360, 65535:63361"
maxis_IuCS,172.20.45.33/32,"65535:11050, 65535:60081, 65535:63360, 65535:63361"
maxis_IuCS,172.20.46.32/27,"65535:11050, 65535:60081, 65535:63360, 65535:63361"
maxis_IuCS,172.20.46.33/32,"65535:11050, 65535:60081, 65535:63360, 65535:63361"
maxis_IuCS,172.20.76.32/27,"65535:11050, 65535:60081, 65535:63360, 65535:63361"
maxis_IuCS,172.20.228.32/27,"65535:11050, 65535:60081, 65535:63360, 65535:63361"
maxis_IuCS,172.20.228.160/27,"65535:11050, 65535:60081, 65535:63360, 65535:63361"
maxis_IuCS,172.23.197.0/26,"65535:11050, 65535:60081, 65535:63360, 65535:63361"
maxis_IuCS,172.23.197.60/32,"65535:11050, 65535:60081, 65535:63360, 65535:63361"
maxis_IuCS,172.23.197.192/26,"65535:11050, 65535:60081, 65535:63360, 65535:63361"
maxis_IuCS,172.23.197.252/32,"65535:11050, 65535:60081, 65535:63360, 65535:63361"
maxis_IuCS,202.151.241.96/30,"65535:11050, 65535:60081, 65535:63360, 65535:63361"
