VRF name,Prefix,RT values
maxis_IuCS_CP,10.151.81.204/30,
maxis_IuCS_CP,10.151.81.208/30,"65535:63520, 65535:63522"
maxis_IuCS_CP,10.221.32.0/26,"65535:11250, 65535:26302, 65535:60000, 65535:60021, 65535:60061, 65535:60063, 65535:60101, 65535:60262, 65535:60282, 65535:60403, 65535:60621, 65535:60661, 65535:60861, 65535:60901, 65535:60941, 65535:60943, 65535:60945, 65535:61062, 65535:61461, 65535:61501, 65535:61602, 65535:61682, 65535:61742, 65535:61942, 65535:62080, 65535:62380, 65535:62502, 65535:62881, 65535:62941, 65535:63422, 65535:63521, 65535:63722, 65535:64663, 65535:64843, 65535:65882, 65535:66362"
maxis_IuCS_CP,10.221.32.128/26,"65535:11250, 65535:26302, 65535:60000, 65535:60021, 65535:60061, 65535:60063, 65535:60101, 65535:60262, 65535:60282, 65535:60403, 65535:60621, 65535:60661, 65535:60861, 65535:60901, 65535:60941, 65535:60943, 65535:60945, 65535:61062, 65535:61461, 65535:61501, 65535:61602, 65535:61682, 65535:61742, 65535:61942, 65535:62080, 65535:62380, 65535:62502, 65535:62881, 65535:62941, 65535:63422, 65535:63521, 65535:63722, 65535:64663, 65535:64843, 65535:65882, 65535:66362"
maxis_IuCS_CP,10.221.32.192/27,"65535:11250, 65535:26302, 65535:60000, 65535:60021, 65535:60061, 65535:60063, 65535:60101, 65535:60262, 65535:60282, 65535:60403, 65535:60621, 65535:60661, 65535:60861, 65535:60901, 65535:60941, 65535:60943, 65535:60945, 65535:61062, 65535:61461, 65535:61501, 65535:61602, 65535:61682, 65535:61742, 65535:61942, 65535:62080, 65535:62380, 65535:62502, 65535:62881, 65535:62941, 65535:63422, 65535:63521, 65535:63722, 65535:64663, 65535:64843, 65535:65882, 65535:66362"
maxis_IuCS_CP,10.221.32.192/29,"65535:11250, 65535:26302, 65535:60000, 65535:60021, 65535:60061, 65535:60063, 65535:60101, 65535:60262, 65535:60282, 65535:60403, 65535:60621, 65535:60661, 65535:60861, 65535:60901, 65535:60941, 65535:60943, 65535:60945, 65535:61062, 65535:61461, 65535:61501, 65535:61602, 65535:61682, 65535:61742, 65535:61942, 65535:62080, 65535:62380, 65535:62502, 65535:62881, 65535:62941, 65535:63422, 65535:63521, 65535:63722, 65535:64663, 65535:64843, 65535:65882, 65535:66362"
maxis_IuCS_CP,10.221.32.200/29,"65535:11250, 65535:26302, 65535:60000, 65535:60021, 65535:60061, 65535:60063, 65535:60101, 65535:60262, 65535:60282, 65535:60403, 65535:60621, 65535:60661, 65535:60861, 65535:60901, 65535:60941, 65535:60943, 65535:60945, 65535:61062, 65535:61461, 65535:61501, 65535:61602, 65535:61682, 65535:61742, 65535:61942, 65535:62080, 65535:62380, 65535:62502, 65535:62881, 65535:62941, 65535:63422, 65535:63521, 65535:63722, 65535:64663, 65535:64843, 65535:65882, 65535:66362"
maxis_IuCS_CP,10.221.204.32/28,"65535:11250, 65535:26302, 65535:60000, 65535:60021, 65535:60061, 65535:60063, 65535:60101, 65535:60262, 65535:60282, 65535:60403, 65535:60621, 65535:60661, 65535:60861, 65535:60901, 65535:60941, 65535:60943, 65535:60945, 65535:61062, 65535:61461, 65535:61501, 65535:61602, 65535:61682, 65535:61742, 65535:61942, 65535:62080, 65535:62380, 65535:62502, 65535:62881, 65535:62941, 65535:63422, 65535:63521, 65535:63722, 65535:64663, 65535:64843, 65535:65882, 65535:66362"
maxis_IuCS_CP,10.230.16.192/27,"65535:11250, 65535:26302, 65535:60061, 65535:60063, 65535:60065, 65535:60067, 65535:60101, 65535:60282, 65535:60284, 65535:60621, 65535:60861, 65535:60901, 65535:60941, 65535:60943, 65535:60945, 65535:61062, 65535:61461, 65535:62502, 65535:63422, 65535:63521, 65535:63722, 65535:64663, 65535:64843, 65535:65501, 65535:65882, 65535:66362"
maxis_IuCS_CP,10.230.16.192/29,"65535:11250, 65535:26302, 65535:60061, 65535:60063, 65535:60065, 65535:60067, 65535:60101, 65535:60282, 65535:60284, 65535:60621, 65535:60861, 65535:60901, 65535:60941, 65535:60943, 65535:60945, 65535:61062, 65535:61461, 65535:62502, 65535:63422, 65535:63521, 65535:63722, 65535:64663, 65535:64843, 65535:65501, 65535:65882, 65535:66362"
maxis_IuCS_CP,10.230.16.200/29,"65535:11250, 65535:26302, 65535:60061, 65535:60063, 65535:60065, 65535:60067, 65535:60101, 65535:60282, 65535:60284, 65535:60621, 65535:60861, 65535:60901, 65535:60941, 65535:60943, 65535:60945, 65535:61062, 65535:61461, 65535:62502, 65535:63422, 65535:63521, 65535:63722, 65535:64663, 65535:64843, 65535:65501, 65535:65882, 65535:66362"
