VRF name,Prefix,RT values
maxis_IuPS,10.151.81.244/30,
maxis_IuPS,10.151.81.248/30,"65535:63340, 65535:63341"
maxis_IuPS,203.82.88.0/24,"65535:18000, 65535:26002, 65535:26302, 65535:60121, 65535:62582, 65535:63342, 65535:65561"
maxis_IuPS,203.82.88.0/27,"65535:18000, 65535:26002, 65535:26302, 65535:60121, 65535:62582, 65535:63342, 65535:65561"
maxis_IuPS,203.82.88.0/28,"65535:18000, 65535:26002, 65535:60121, 65535:61961, 65535:62581, 65535:62582, 65535:63342, 65535:65222, 65535:65561"
maxis_IuPS,203.82.88.1/32,"65535:18000, 65535:26002, 65535:60121, 65535:61961, 65535:61962, 65535:62581, 65535:62582, 65535:63342, 65535:65222, 65535:65561"
maxis_IuPS,203.82.88.2/32,"65535:18000, 65535:26002, 65535:60121, 65535:61961, 65535:61962, 65535:62581, 65535:62582, 65535:63342, 65535:65222, 65535:65561"
maxis_IuPS,203.82.88.3/32,"65535:18000, 65535:26002, 65535:60121, 65535:61961, 65535:61962, 65535:62581, 65535:62582, 65535:63342, 65535:65222, 65535:65561"
maxis_IuPS,203.82.88.4/32,"65535:18000, 65535:26002, 65535:60121, 65535:61961, 65535:61962, 65535:62581, 65535:62582, 65535:63342, 65535:65222, 65535:65561"
maxis_IuPS,203.82.88.5/32,"65535:18000, 65535:26002, 65535:60121, 65535:61961, 65535:62581, 65535:62582, 65535:63342, 65535:65222, 65535:65561"
maxis_IuPS,203.82.88.6/32,"65535:18000, 65535:26002, 65535:60121, 65535:61961, 65535:62581, 65535:62582, 65535:63342, 65535:65222, 65535:65561"
maxis_IuPS,203.82.88.7/32,"65535:18000, 65535:26002, 65535:60121, 65535:61961, 65535:62581, 65535:62582, 65535:63342, 65535:65222, 65535:65561"
maxis_IuPS,203.82.88.8/32,"65535:18000, 65535:26002, 65535:60121, 65535:61961, 65535:62581, 65535:62582, 65535:63342, 65535:65222, 65535:65561"
maxis_IuPS,203.82.88.9/32,"65535:18000, 65535:26002, 65535:60121, 65535:61961, 65535:62581, 65535:62582, 65535:63342, 65535:65222, 65535:65561"
maxis_IuPS,203.82.88.10/32,"65535:18000, 65535:26002, 65535:60121, 65535:61961, 65535:62581, 65535:62582, 65535:63342, 65535:65222, 65535:65561"
maxis_IuPS,203.82.88.11/32,"65535:18000, 65535:26002, 65535:60121, 65535:61961, 65535:62581, 65535:62582, 65535:63342, 65535:65222, 65535:65561"
maxis_IuPS,203.82.88.12/32,"65535:18000, 65535:26002, 65535:60121, 65535:61961, 65535:62581, 65535:62582, 65535:63342, 65535:65222, 65535:65561"
maxis_IuPS,203.82.88.18/32,"65535:18000, 65535:26002, 65535:60121, 65535:61961, 65535:61962, 65535:62581, 65535:62582, 65535:63342, 65535:65222, 65535:65561"
maxis_IuPS,203.82.88.19/32,"65535:18000, 65535:26002, 65535:60121, 65535:61961, 65535:61962, 65535:62581, 65535:62582, 65535:63342, 65535:65222, 65535:65561"
maxis_IuPS,203.82.88.20/32,"65535:18000, 65535:26002, 65535:60121, 65535:61961, 65535:61962, 65535:62581, 65535:62582, 65535:63342, 65535:65222, 65535:65561"
maxis_IuPS,203.82.88.21/32,"65535:18000, 65535:26002, 65535:60121, 65535:61961, 65535:61962, 65535:62581, 65535:62582, 65535:63342, 65535:65222, 65535:65561"
maxis_IuPS,203.82.88.22/32,"65535:18000, 65535:26002, 65535:60121, 65535:61961, 65535:61962, 65535:62581, 65535:62582, 65535:63342, 65535:65222, 65535:65561"
maxis_IuPS,203.82.88.23/32,"65535:18000, 65535:26002, 65535:60121, 65535:61961, 65535:61962, 65535:62581, 65535:62582, 65535:63342, 65535:65222, 65535:65561"
maxis_IuPS,203.82.88.24/32,"65535:18000, 65535:26002, 65535:60121, 65535:61961, 65535:61962, 65535:62581, 65535:62582, 65535:63342, 65535:65222, 65535:65561"
maxis_IuPS,203.82.88.25/32,"65535:18000, 65535:26002, 65535:60121, 65535:61961, 65535:61962, 65535:62581, 65535:62582, 65535:63342, 65535:65222, 65535:65561"
maxis_IuPS,203.82.88.32/27,"65535:18000, 65535:26002, 65535:26302, 65535:60121, 65535:62582, 65535:63342, 65535:65561"
maxis_IuPS,203.82.88.32/28,"65535:18000, 65535:26002, 65535:60121, 65535:61961, 65535:62581, 65535:62582, 65535:63342, 65535:65561"
maxis_IuPS,203.82.88.33/32,"65535:18000, 65535:26002, 65535:60121, 65535:61961, 65535:62581, 65535:62582, 65535:63342, 65535:65561"
