VRF name,Prefix,RT values
maxis_IuPS_CP,10.151.81.236/30,
maxis_IuPS_CP,10.151.81.240/30,"65535:63540, 65535:63542"
maxis_IuPS_CP,10.223.32.33/32,"65535:502, 65535:60141, 65535:60264, 65535:60284, 65535:60286, 65535:60321, 65535:60322, 65535:60384, 65535:60481, 65535:61544, 65535:62602, 65535:63541, 65535:65541"
maxis_IuPS_CP,10.223.32.34/32,"65535:502, 65535:60141, 65535:60264, 65535:60284, 65535:60286, 65535:60321, 65535:60322, 65535:60384, 65535:60481, 65535:61544, 65535:62602, 65535:63541, 65535:65541"
maxis_IuPS_CP,10.223.32.41/32,"65535:502, 65535:60141, 65535:60264, 65535:60284, 65535:60286, 65535:60321, 65535:60322, 65535:60384, 65535:60481, 65535:61544, 65535:62602, 65535:63541, 65535:65541"
maxis_IuPS_CP,10.223.32.42/32,"65535:502, 65535:60141, 65535:60264, 65535:60284, 65535:60286, 65535:60321, 65535:60322, 65535:60384, 65535:60481, 65535:61544, 65535:62602, 65535:63541, 65535:65541"
maxis_IuPS_CP,10.223.42.33/32,"65535:502, 65535:510, 65535:60141, 65535:60284, 65535:60286, 65535:60321, 65535:60386, 65535:60481, 65535:61542, 65535:61544, 65535:62602, 65535:63541, 65535:65541"
maxis_IuPS_CP,10.223.42.34/32,"65535:502, 65535:510, 65535:60141, 65535:60284, 65535:60286, 65535:60321, 65535:60386, 65535:60481, 65535:61542, 65535:61544, 65535:62602, 65535:63541, 65535:65541"
maxis_IuPS_CP,10.223.42.41/32,"65535:502, 65535:510, 65535:60141, 65535:60284, 65535:60286, 65535:60321, 65535:60386, 65535:60481, 65535:61542, 65535:61544, 65535:62602, 65535:63541, 65535:65541"
maxis_IuPS_CP,10.223.42.42/32,"65535:502, 65535:510, 65535:60141, 65535:60284, 65535:60286, 65535:60321, 65535:60386, 65535:60481, 65535:61542, 65535:61544, 65535:62602, 65535:63541, 65535:65541"
maxis_IuPS_CP,10.223.74.18/32,"65535:502, 65535:510, 65535:60141, 65535:60284, 65535:62602, 65535:63541, 65535:65541"
maxis_IuPS_CP,10.223.74.19/32,"65535:502, 65535:510, 65535:60141, 65535:60284, 65535:62602, 65535:63541, 65535:65541"
maxis_IuPS_CP,10.223.84.18/32,"65535:502, 65535:510, 65535:60141, 65535:60284, 65535:60286, 65535:60321, 65535:60386, 65535:60481, 65535:61542, 65535:61544, 65535:62602, 65535:63541, 65535:65541"
maxis_IuPS_CP,10.223.84.19/32,"65535:502, 65535:510, 65535:60141, 65535:60284, 65535:60286, 65535:60321, 65535:60386, 65535:60481, 65535:61542, 65535:61544, 65535:62602, 65535:63541, 65535:65541"
