VRF name,Prefix,RT values
maxis_S1U_MOCN,10.63.109.0/24,"65535:65440, 65535:65442, 65535:65642"
maxis_S1U_MOCN,10.63.110.0/24,"65535:65440, 65535:65442, 65535:65642"
maxis_S1U_MOCN,10.63.111.0/24,"65535:65440, 65535:65442, 65535:65642"
maxis_S1U_MOCN,10.63.112.0/24,"65535:65440, 65535:65442, 65535:65642"
maxis_S1U_MOCN,10.63.113.0/24,"65535:65440, 65535:65442, 65535:65642"
maxis_S1U_MOCN,10.63.114.0/24,"65535:65440, 65535:65442, 65535:65642"
maxis_S1U_MOCN,10.63.115.0/24,"65535:65440, 65535:65442, 65535:65642"
maxis_S1U_MOCN,10.63.116.0/24,"65535:65440, 65535:65442, 65535:65642"
maxis_S1U_MOCN,10.63.117.0/24,"65535:65440, 65535:65442, 65535:65642"
maxis_S1U_MOCN,10.63.118.0/24,"65535:65440, 65535:65442, 65535:65642"
maxis_S1U_MOCN,10.63.120.0/24,"65535:65440, 65535:65442, 65535:65642"
maxis_S1U_MOCN,10.63.121.0/24,"65535:65440, 65535:65442, 65535:65642"
maxis_S1U_MOCN,10.63.126.0/24,"65535:65440, 65535:65442, 65535:65642"
maxis_S1U_MOCN,10.63.127.0/24,"65535:65440, 65535:65442, 65535:65642"
maxis_S1U_MOCN,10.63.130.0/24,"65535:65440, 65535:65442, 65535:65642"
maxis_S1U_MOCN,10.63.131.0/24,"65535:65440, 65535:65442, 65535:65642"
maxis_S1U_MOCN,10.63.132.0/24,"65535:65440, 65535:65442, 65535:65642"
maxis_S1U_MOCN,10.63.133.0/24,"65535:65440, 65535:65442, 65535:65642"
maxis_S1U_MOCN,10.63.134.0/24,"65535:65440, 65535:65442, 65535:65642"
maxis_S1U_MOCN,10.63.135.0/24,"65535:65440, 65535:65442, 65535:65642"
maxis_S1U_MOCN,10.63.136.0/24,"65535:65440, 65535:65442, 65535:65642"
maxis_S1U_MOCN,10.63.137.0/24,"65535:65440, 65535:65442, 65535:65642"
maxis_S1U_MOCN,10.63.138.0/24,"65535:65440, 65535:65442, 65535:65642"
