+++ KPGUER01-ASR9K with via 'cli': executing command 'show ip interface brief' +++
show ip interface brief
Wed Jun  5 20:07:44.448 MYT

Interface                      IP-Address      Status          Protocol Vrf-Name
BVI100                         10.159.235.1    Up              Up       dcfw_prod
BVI200                         10.159.235.5    Up              Up       vcore   
BVI300                         10.159.235.9    Up              Up       vmware  
Bundle-Ether1                  unassigned      Down            Down     default 
Bundle-Ether2                  unassigned      Shutdown        Down     default 
Bundle-Ether3                  unassigned      Shutdown        Down     default 
Bundle-Ether4                  unassigned      Up              Up       default 
Bundle-Ether5                  unassigned      Down            Down     default 
Bundle-Ether6                  unassigned      Shutdown        Down     default 
Bundle-Ether7                  unassigned      Up              Up       default 
Bundle-Ether8                  unassigned      Up              Up       default 
Bundle-Ether10                 unassigned      Shutdown        Down     default 
Bundle-Ether21                 unassigned      Up              Up       default 
Bundle-Ether23                 unassigned      Up              Up       default 
Bundle-Ether25                 unassigned      Up              Up       default 
Bundle-Ether41                 10.240.163.0    Up              Up       default 
Bundle-Ether42                 10.240.163.8    Up              Up       default 
Bundle-Ether43                 10.240.163.16   Up              Up       default 
Bundle-Ether44                 10.240.163.24   Up              Up       default 
Bundle-Ether45                 10.240.163.32   Up              Up       default 
Bundle-Ether46                 10.240.163.40   Up              Up       default 
Bundle-Ether47                 10.244.44.15    Up              Up       default 
Bundle-Ether48                 10.240.163.48   Up              Up       default 
Bundle-Ether49                 10.240.163.56   Up              Up       default 
Bundle-Ether50                 10.240.163.64   Up              Up       default 
Bundle-Ether51                 10.240.163.72   Up              Up       default 
Bundle-Ether52                 10.240.163.80   Up              Up       default 
Bundle-Ether53                 10.240.163.88   Up              Up       default 
Bundle-Ether54                 10.240.163.96   Up              Up       default 
Bundle-Ether55                 10.240.163.104  Up              Up       default 
Bundle-Ether56                 10.240.163.112  Up              Up       default 
Bundle-Ether57                 10.240.163.124  Up              Up       default 
Bundle-Ether58                 10.240.163.134  Up              Up       default 
Bundle-Ether59                 10.240.163.142  Up              Up       default 
Bundle-Ether60                 10.240.163.148  Up              Up       default 
Bundle-Ether61                 10.240.163.156  Up              Up       default 
Bundle-Ether62                 10.240.163.172  Up              Up       default 
Bundle-Ether63                 10.240.163.184  Up              Up       default 
Bundle-Ether64                 10.240.163.192  Up              Up       default 
Bundle-Ether65                 10.240.163.200  Down            Down     default 
Bundle-Ether66                 10.240.163.208  Up              Up       default 
Bundle-Ether67                 10.240.163.216  Up              Up       default 
Bundle-Ether68                 10.240.163.224  Up              Up       default 
Bundle-Ether69                 10.240.163.232  Up              Up       default 
Bundle-Ether70                 10.240.163.240  Up              Up       default 
Bundle-Ether71                 10.240.163.248  Up              Up       default 
Bundle-Ether72                 10.240.164.0    Up              Up       default 
Bundle-Ether73                 10.240.164.8    Up              Up       default 
Bundle-Ether74                 10.240.164.16   Up              Up       default 
Bundle-Ether75                 10.240.164.32   Up              Up       default 
Bundle-Ether76                 10.240.164.40   Up              Up       default 
Bundle-Ether77                 10.240.164.48   Up              Up       default 
Bundle-Ether78                 10.240.164.56   Up              Up       default 
Bundle-Ether79                 10.240.164.64   Up              Up       default 
Bundle-Ether80                 10.240.164.74   Up              Up       default 
Bundle-Ether81                 10.240.164.80   Up              Up       default 
Bundle-Ether82                 10.240.164.88   Up              Up       default 
Bundle-Ether83                 10.240.164.104  Up              Up       default 
Bundle-Ether84                 10.240.164.112  Up              Up       default 
Bundle-Ether85                 10.240.217.108  Up              Up       default 
Bundle-Ether90                 unassigned      Up              Up       default 
Bundle-Ether102                10.244.44.98    Up              Up       default 
Bundle-Ether130                unassigned      Up              Up       default 
Bundle-Ether150                10.240.165.200  Up              Up       default 
Bundle-Ether155                10.159.251.38   Up              Up       default 
Bundle-Ether200                unassigned      Up              Up       default 
Bundle-Ether303                unassigned      Down            Down     default 
Bundle-Ether1.18               10.200.100.2    Down            Down     ENT_WIFI_5GShowcase
Bundle-Ether2.60               unassigned      Shutdown        Down     default 
Bundle-Ether2.61               unassigned      Shutdown        Down     default 
Bundle-Ether2.62               unassigned      Shutdown        Down     default 
Bundle-Ether2.63               unassigned      Shutdown        Down     default 
Bundle-Ether2.64               unassigned      Shutdown        Down     default 
Bundle-Ether2.65               unassigned      Shutdown        Down     default 
Bundle-Ether2.66               unassigned      Shutdown        Down     default 
Bundle-Ether5.49               10.200.66.89    Down            Down     ENT_CPE_OM
Bundle-Ether5.51               10.241.14.1     Down            Down     CP_wifi 
Bundle-Ether5.53               10.241.14.9     Down            Down     UP_wifi 
